sample	unit	fq1	fq2
NTM00321	1	NTM00321_S87_R1_001.fastq.gz	NTM00321_S87_R2_001.fastq.gz
NTM00321	2	NTM00321_S70_R1_001.fastq.gz	NTM00321_S70_R2_001.fastq.gz
NTM00340	1	NTM00340_S31_R1_001.fastq.gz	NTM00340_S31_R2_001.fastq.gz
NTM00340	2	NTM00340_S14_R1_001.fastq.gz	NTM00340_S14_R2_001.fastq.gz
NTM00344	1	NTM00344_S48_R1_001.fastq.gz	NTM00344_S48_R2_001.fastq.gz
NTM00344	2	NTM00344_S31_R1_001.fastq.gz	NTM00344_S31_R2_001.fastq.gz
NTM00357	1	NTM00357_S80_R1_001.fastq.gz	NTM00357_S80_R2_001.fastq.gz
NTM00357	2	NTM00357_S63_R1_001.fastq.gz	NTM00357_S63_R2_001.fastq.gz
NTM00373	1	NTM00373_S85_R1_001.fastq.gz	NTM00373_S85_R2_001.fastq.gz
NTM00373	2	NTM00373_S68_R1_001.fastq.gz	NTM00373_S68_R2_001.fastq.gz
NTM00383	1	NTM00383_S76_R1_001.fastq.gz	NTM00383_S76_R2_001.fastq.gz
NTM00383	2	NTM00383_S59_R1_001.fastq.gz	NTM00383_S59_R2_001.fastq.gz
NTM00388	1	NTM00388_S37_R1_001.fastq.gz	NTM00388_S37_R2_001.fastq.gz
NTM00388	2	NTM00388_S20_R1_001.fastq.gz	NTM00388_S20_R2_001.fastq.gz
NTM00395	1	NTM00395_S20_R1_001.fastq.gz	NTM00395_S20_R2_001.fastq.gz
NTM00395	2	NTM00395_S3_R1_001.fastq.gz	NTM00395_S3_R2_001.fastq.gz
NTM00398	1	NTM00398_S49_R1_001.fastq.gz	NTM00398_S49_R2_001.fastq.gz
NTM00398	2	NTM00398_S32_R1_001.fastq.gz	NTM00398_S32_R2_001.fastq.gz
NTM00399	1	NTM00399_S73_R1_001.fastq.gz	NTM00399_S73_R2_001.fastq.gz
NTM00399	2	NTM00399_S56_R1_001.fastq.gz	NTM00399_S56_R2_001.fastq.gz
NTM00410	1	NTM00410_S21_R1_001.fastq.gz	NTM00410_S21_R2_001.fastq.gz
NTM00410	2	NTM00410_S4_R1_001.fastq.gz	NTM00410_S4_R2_001.fastq.gz
NTM00433	1	NTM00433_S71_R1_001.fastq.gz	NTM00433_S71_R2_001.fastq.gz
NTM00433	2	NTM00433_S54_R1_001.fastq.gz	NTM00433_S54_R2_001.fastq.gz
NTM00436	1	NTM00436_S33_R1_001.fastq.gz	NTM00436_S33_R2_001.fastq.gz
NTM00436	2	NTM00436_S16_R1_001.fastq.gz	NTM00436_S16_R2_001.fastq.gz
NTM00442	1	NTM00442_S75_R1_001.fastq.gz	NTM00442_S75_R2_001.fastq.gz
NTM00442	2	NTM00442_S58_R1_001.fastq.gz	NTM00442_S58_R2_001.fastq.gz
NTM00446	1	NTM00446_S30_R1_001.fastq.gz	NTM00446_S30_R2_001.fastq.gz
NTM00446	2	NTM00446_S13_R1_001.fastq.gz	NTM00446_S13_R2_001.fastq.gz
NTM00470	1	NTM00470_S39_R1_001.fastq.gz	NTM00470_S39_R2_001.fastq.gz
NTM00470	2	NTM00470_S22_R1_001.fastq.gz	NTM00470_S22_R2_001.fastq.gz
NTM00473	1	NTM00473_S38_R1_001.fastq.gz	NTM00473_S38_R2_001.fastq.gz
NTM00473	2	NTM00473_S21_R1_001.fastq.gz	NTM00473_S21_R2_001.fastq.gz
NTM00489	1	NTM00489_S66_R1_001.fastq.gz	NTM00489_S66_R2_001.fastq.gz
NTM00489	2	NTM00489_S49_R1_001.fastq.gz	NTM00489_S49_R2_001.fastq.gz
NTM00499	1	NTM00499_S35_R1_001.fastq.gz	NTM00499_S35_R2_001.fastq.gz
NTM00499	2	NTM00499_S18_R1_001.fastq.gz	NTM00499_S18_R2_001.fastq.gz
NTM00502	1	NTM00502_S52_R1_001.fastq.gz	NTM00502_S52_R2_001.fastq.gz
NTM00502	2	NTM00502_S35_R1_001.fastq.gz	NTM00502_S35_R2_001.fastq.gz
NTM00532	1	NTM00532_S53_R1_001.fastq.gz	NTM00532_S53_R2_001.fastq.gz
NTM00532	2	NTM00532_S36_R1_001.fastq.gz	NTM00532_S36_R2_001.fastq.gz
NTM00537	1	NTM00537_S65_R1_001.fastq.gz	NTM00537_S65_R2_001.fastq.gz
NTM00537	2	NTM00537_S48_R1_001.fastq.gz	NTM00537_S48_R2_001.fastq.gz
NTM00573	1	NTM00573_S95_R1_001.fastq.gz	NTM00573_S95_R2_001.fastq.gz
NTM00573	2	NTM00573_S78_R1_001.fastq.gz	NTM00573_S78_R2_001.fastq.gz
NTM00576	1	NTM00576_S72_R1_001.fastq.gz	NTM00576_S72_R2_001.fastq.gz
NTM00576	2	NTM00576_S55_R1_001.fastq.gz	NTM00576_S55_R2_001.fastq.gz
NTM00609	1	NTM00609_S67_R1_001.fastq.gz	NTM00609_S67_R2_001.fastq.gz
NTM00609	2	NTM00609_S50_R1_001.fastq.gz	NTM00609_S50_R2_001.fastq.gz
NTM00615	1	NTM00615_S103_R1_001.fastq.gz	NTM00615_S103_R2_001.fastq.gz
NTM00615	2	NTM00615_S86_R1_001.fastq.gz	NTM00615_S86_R2_001.fastq.gz
NTM00635	1	NTM00635_S57_R1_001.fastq.gz	NTM00635_S57_R2_001.fastq.gz
NTM00635	2	NTM00635_S40_R1_001.fastq.gz	NTM00635_S40_R2_001.fastq.gz
NTM00640	1	NTM00640_S56_R1_001.fastq.gz	NTM00640_S56_R2_001.fastq.gz
NTM00640	2	NTM00640_S39_R1_001.fastq.gz	NTM00640_S39_R2_001.fastq.gz
NTM00641	1	NTM00641_S68_R1_001.fastq.gz	NTM00641_S68_R2_001.fastq.gz
NTM00641	2	NTM00641_S51_R1_001.fastq.gz	NTM00641_S51_R2_001.fastq.gz
NTM00644	1	NTM00644_S58_R1_001.fastq.gz	NTM00644_S58_R2_001.fastq.gz
NTM00644	2	NTM00644_S41_R1_001.fastq.gz	NTM00644_S41_R2_001.fastq.gz
NTM00978	1	NTM00978_S86_R1_001.fastq.gz	NTM00978_S86_R2_001.fastq.gz
NTM00978	2	NTM00978_S69_R1_001.fastq.gz	NTM00978_S69_R2_001.fastq.gz
NTM00995	1	NTM00995_S104_R1_001.fastq.gz	NTM00995_S104_R2_001.fastq.gz
